Device,Type,Operation,Language,Compiler,Runtime,OS,Data,Rows,Cols,Time
,,,,,,,,,,
Intel(R) Core(TM) Ultra 7 155H,CPU,Matrix mul,Python,Python 3.12,Python,Windows 11,float64,1000,1000,221.4799s
Intel(R) Core(TM) Ultra 7 155H,CPU,Matrix mul,Python,Python 3.12,NumPy,Windows 11,float64,1000,1000,0.0088s
,,,,,,,,,,
Intel(R) AI Boost,NPU,Matrix mul,Python,Python 3.12,intel_npu_acceleration_library,Windows 11,float16,1000,1000,0.0876s
Intel(R) Arc(TM) Graphics,GPU,Matrix mul,Python,Python 3.12,PyTorch,Windows 11,float64,1000,1000,0.0409s
,,,,,,,,,,
Intel(R) Core(TM) Ultra 7 155H,CPU,Matrix mul,Python,Python 3.12,NumPy,Windows 11,float64,10000,10000,3.6558s
Intel(R) Arc(TM) Graphics,GPU,Matrix mul,Python,Python 3.12,PyTorch,Windows 11,float64,10000,10000,14.8228s
,,,,,,,,,,
Intel(R) Core(TM) Ultra 7 155H,CPU,Matrix mul,C++,msys g++,C++,Windows 11,float32,1000,1000,2.763039s
Intel(R) Core(TM) Ultra 7 155H,CPU,Matrix mul,C++,msys g++,OpenBLAS,Windows 11,float32,1000,1000,0.007585s
Intel(R) Arc(TM) Graphics,CPU,Matrix mul,C++,msys g++,clBLASt,Windows 11,float32,1000,1000,0.021138s
,,,,,,,,,,
Intel(R) Core(TM) Ultra 7 155H,CPU,Matrix mul,C++,msys g++,OpenBLAS,Windows 11,float32,10000,10000,2.898140s
Intel(R) Arc(TM) Graphics,GPU,Matrix mul,C++,msys g++,clBLASt,Windows 11,float32,10000,10000, 2.815628s
NVIDIA RTX 2060,GPU,Matrix mul,C++,msys g++,cuBLAS,Windows 11,float32,10000,10000,0.940977s
