Device;Type;Operation;Language;Compiler;Runtime;OS;Data;Rows;Cols;Time
Intel(R) Core(TM) Ultra 7 155H;CPU;Matrix mul;Python;Python 3.12;Python;Windows 11;float64;1000;1000;221.4799s
Intel(R) Core(TM) Ultra 7 155H;CPU;Matrix mul;Python;Python 3.12;NumPy;Windows 11;float64;1000;1000;0.0088s
;;;;;;;;;;
Intel(R) AI Boost;NPU;Matrix mul;Python;Python 3.12;intel_npu_acceleration_library;Windows 11;float16;1000;1000;0.0876s
Intel(R) Arc(TM) Graphics;GPU;Matrix mul;Python;Python 3.12;PyTorch;Windows 11;float64;1000;1000;0.0409s
;;;;;;;;;;
Intel(R) Core(TM) Ultra 7 155H;CPU;Matrix mul;Python;Python 3.12;NumPy;Windows 11;float64;10000;10000;3.6558s
Intel(R) Arc(TM) Graphics;GPU;Matrix mul;Python;Python 3.12;PyTorch;Windows 11;float64;10000;10000;14.8228s
;;;;;;;;;;
Intel(R) Core(TM) Ultra 7 155H;CPU;Matrix mul;C++;msys g++ ;C++;Windows 11;float32;1000;1000;2.763039s
Intel(R) Core(TM) Ultra 7 155H;CPU;Matrix mul;C++;msys g++ ;OpenBLAS;Windows 11;float32;1000;1000;0.007585s
Intel(R) Arc(TM) Graphics;CPU;Matrix mul;C++;msys g++ ;clBLASt;Windows 11;float32;1000;1000;0.021138s
;;;;;;;;;;
Intel(R) Core(TM) Ultra 7 155H;CPU;Matrix mul;C++;msys g++ ;OpenBLAS;Windows 11;float32;10000;10000;2.898140s
Intel(R) Arc(TM) Graphics;GPU;Matrix mul;C++;msys g++ ;clBLASt;Windows 11;float32;10000;10000; 2.815628s
NVIDIA RTX 2060;GPU;Matrix mul;C++;msys g++ ;cuBLAS;Windows 11;float32;10000;10000;0.940977s
;;;;;;;;;;
Intel(R) Core(TM) Ultra 7 155H;CPU;Vector dot;C++;msys g++ ;C++;Windows 11;float32;1000;1000;0.001871s
Intel(R) Core(TM) Ultra 7 155H;CPU;Vector dot;C++;msys g++ ;OpenBLAS;Windows 11;float32;1000;1000;0.000221s
Intel(R) Arc(TM) Graphics;GPU;Vector dot;C++;msys g++ ;clBLASt;Windows 11;float32;1000;1000;0.008907s
Intel(R) Arc(TM) Graphics;GPU;Vector dot;C++;msys g++ ;OpenCL Reduction;Windows 11;float32;1000;1000;0.002115s
;;;;;;;;;;
Intel(R) Core(TM) Ultra 7 155H;CPU;Vector dot;C++;msys g++ ;C++;Windows 11;float32;10000;10000;0.197382s
Intel(R) Core(TM) Ultra 7 155H;CPU;Vector dot;C++;msys g++ ;OpenBLAS;Windows 11;float32;10000;10000;0.017169s
Intel(R) Arc(TM) Graphics;GPU;Vector dot;C++;msys g++ ;clBLASt;Windows 11;float32;10000;10000;0.165762s
Intel(R) Arc(TM) Graphics;GPU;Vector dot;C++;msys g++ ;OpenCL Reduction;Windows 11;float32;10000;10000;0.238850s
;;;;;;;;;;
AMD Ryzen 9;CPU;Vector dot;C++;msys g++ ;C++;Windows 11;float32;10000;10000;0.260832s
AMD Ryzen 9;CPU;Vector dot;C++;msys g++ ;OpenBLAS;Windows 11;float32;10000;10000;0.026209s
;;;;;;;;;;
NVIDIA RTX 2060;GPU;Vector dot;C++;msys g++ ;clBLASt;Windows 11;float32;10000;10000;0.411051s
NVIDIA RTX 2060;GPU;Vector dot;C++;msys g++ ;OpenCL Reduction;Windows 11;float32;10000;10000;0.297671s
NVIDIA RTX 2060;GPU;Vector dot;C++;msys g++ ;cuBLAS;Windows 11;float32;10000;10000;0.441458s
;;;;;;;;;;
AMD Ryzen 9;CPU;Vector dot;C++;msys g++ ;OpenBLAS;Windows 11;float32;20000;20000;0.094412s
;;;;;;;;;;
NVIDIA RTX 2060;GPU;Vector dot;C++;msys g++ ;clBLASt;Windows 11;float32;20000;20000;0.792014s
NVIDIA RTX 2060;GPU;Vector dot;C++;msys g++ ;OpenCL Reduction;Windows 11;float32;20000;20000;0.763142s
NVIDIA RTX 2060;GPU;Vector dot;C++;msys g++ ;cuBLAS;Windows 11;float32;20000;20000;0.843010s
